timestamp_ns,event_type,event_order_at_timestamp,row_position,delta,root_delta,subagent_delta,unknown_branch_delta,inflight_after_event,root_inflight,subagent_inflight,unknown_branch_inflight,profiling_inflight
1786167392375781376,end,0,180,-1,-1,0,0,6,4,2,0,6
1786167393307298048,end,0,181,-1,0,-1,0,5,4,1,0,5
1786167393891709696,end,0,182,-1,-1,0,0,4,3,1,0,4
1786167394170419200,end,0,183,-1,-1,0,0,3,2,1,0,3
1786167394399584256,start,0,186,1,0,1,0,4,2,2,0,4
1786167396076267520,end,0,184,-1,-1,0,0,3,1,2,0,3
1786167397057172992,start,0,187,1,1,0,0,4,2,2,0,4
1786167398256006400,start,0,188,1,1,0,0,5,3,2,0,5
1786167398768998656,end,0,185,-1,-1,0,0,4,2,2,0,4
1786167399963619072,end,0,186,-1,0,-1,0,3,2,1,0,3
1786167399993896704,end,0,187,-1,-1,0,0,2,1,1,0,2
1786167400435706880,end,0,188,-1,-1,0,0,1,0,1,0,1
1786167401057790464,start,0,189,1,0,1,0,2,0,2,0,2
1786167402576626176,start,0,195,1,1,0,0,3,1,2,0,3
1786167402744054016,start,0,192,1,1,0,0,4,2,2,0,4
1786167402870366208,end,0,189,-1,0,-1,0,3,2,1,0,3
1786167403949531136,start,0,190,1,0,1,0,4,2,2,0,4
1786167406105891072,end,0,190,-1,0,-1,0,3,2,1,0,3
1786167406204340480,end,0,191,-1,0,-1,0,2,2,0,0,2
1786167407052880128,start,0,194,1,0,1,0,3,2,1,0,3
1786167407392515072,start,0,193,1,0,1,0,4,2,2,0,4
1786167409111866112,end,0,192,-1,-1,0,0,3,1,2,0,3
1786167409647024640,end,0,193,-1,0,-1,0,2,1,1,0,2
1786167409714033920,end,0,194,-1,0,-1,0,1,1,0,0,1
1786167410746955520,start,0,206,1,0,1,0,2,1,1,0,2
1786167411849480192,start,0,196,1,1,0,0,3,2,1,0,3
1786167412241071104,start,0,198,1,0,1,0,4,2,2,0,4
1786167415844739328,end,0,195,-1,-1,0,0,3,1,2,0,3
1786167417119762688,end,0,196,-1,-1,0,0,2,0,2,0,2
1786167419973096704,start,0,197,1,1,0,0,3,1,2,0,3
1786167422868030976,end,0,197,-1,-1,0,0,2,0,2,0,2
1786167423030259968,end,0,198,-1,0,-1,0,1,0,1,0,1
1786167424272496896,start,0,199,1,0,1,0,2,0,2,0,2
1786167425429103616,start,0,200,1,1,0,0,3,1,2,0,3
1786167429724805632,end,0,199,-1,0,-1,0,2,1,1,0,2
