component,worker_id,timeslice_start_ns,timeslice_end_ns,running_requests_rank_min,running_requests_rank_median,running_requests_rank_max,waiting_requests_rank_min,waiting_requests_rank_median,waiting_requests_rank_max,prefill_bootstrap_queue_rank_min,prefill_bootstrap_queue_rank_median,prefill_bootstrap_queue_rank_max,prefill_inflight_queue_rank_min,prefill_inflight_queue_rank_median,prefill_inflight_queue_rank_max,rank_samples_complete,all_rank_values_exactly_equal,reconstruction_method,validation_status
prefill,694d9fdfb4d8ee13,1786166697156365681,1786166698156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166698156365681,1786166699156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166699156365681,1786166700156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166700156365681,1786166701156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166701156365681,1786166702156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166702156365681,1786166703156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166703156365681,1786166704156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166704156365681,1786166705156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166705156365681,1786166706156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166706156365681,1786166707156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166707156365681,1786166708156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
prefill,694d9fdfb4d8ee13,1786166708156365681,1786166709156365681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rank-local envelope; no rank sum and no unique-worker union,Strong inference
